"Date Reporter","Product","Reporter_MappedCode","Partner","CropYear","Month","MonthYear","Year","Quantity","Forecast","Product_Name","Reporter_MappedName","Partner_Name","Group_Reporter","Group_Partner"
"2016-01-01","SBO","ESP","CHN","2016/17","01","2016-01",2016,0.000600000000,false,"Soybean Oil","Spain","China","other","other"
"2016-01-01","SBO","ESP","DEU","2016/17","01","2016-01",2016,0.001930000000,false,"Soybean Oil","Spain","Germany","other","Europe"
"2016-01-01","SBO","ESP","DZA","2016/17","01","2016-01",2016,9.000000000000,false,"Soybean Oil","Spain","Algeria","other","other"
"2016-01-01","SBO","ESP","EGY","2016/17","01","2016-01",2016,13.150000000000,false,"Soybean Oil","Spain","Egypt","other","other"
"2016-01-01","SBO","ESP","FRA","2016/17","01","2016-01",2016,0.604094000000,false,"Soybean Oil","Spain","France","other","Europe"
"2016-01-01","SBO","ESP","GBR","2016/17","01","2016-01",2016,0.002693000000,false,"Soybean Oil","Spain","United Kingdom","other","Europe"
"2016-01-01","SBO","ESP","GRC","2016/17","01","2016-01",2016,0.022400000000,false,"Soybean Oil","Spain","Greece","other","Europe"
"2016-01-01","SBO","ESP","HRV","2016/17","01","2016-01",2016,0.005060000000,false,"Soybean Oil","Spain","Croatia","other","Europe"
"2016-01-01","SBO","ESP","IRL","2016/17","01","2016-01",2016,0.003778000000,false,"Soybean Oil","Spain","Ireland","other","Europe"
"2016-01-01","SBO","ESP","ITA","2016/17","01","2016-01",2016,0.026620000000,false,"Soybean Oil","Spain","Italy","other","Europe"
"2016-01-01","SBO","ESP","LBN","2016/17","01","2016-01",2016,0.002356000000,false,"Soybean Oil","Spain","Lebanon","other","other"
"2016-01-01","SBO","ESP","MAR","2016/17","01","2016-01",2016,12.150000000000,false,"Soybean Oil","Spain","Morocco","other","other"
"2016-01-01","SBO","ESP","MLT","2016/17","01","2016-01",2016,0.021760000000,false,"Soybean Oil","Spain","Malta","other","Europe"
"2016-01-01","SBO","ESP","NZL","2016/17","01","2016-01",2016,0.150800000000,false,"Soybean Oil","Spain","New Zealand","other","other"
"2016-01-01","SBO","ESP","PRT","2016/17","01","2016-01",2016,0.347536000000,false,"Soybean Oil","Spain","Portugal","other","Europe"
"2016-01-01","SBO","ESP","ROW","2016/17","01","2016-01",2016,0.030774000000,false,"Soybean Oil","Spain","Rest of the World","other","Other"
"2016-01-01","SBO","ESP","SWE","2016/17","01","2016-01",2016,0.007466000000,false,"Soybean Oil","Spain","Sweden","other","Europe"
"2016-01-01","SBO","ESP","USA","2016/17","01","2016-01",2016,0.000801000000,false,"Soybean Oil","Spain","United States","other","other"
"2016-01-01","SBS","ESP","FRA","2016/17","01","2016-01",2016,0.435757000000,false,"Soybean","Spain","France","other","Europe"
"2016-01-01","SBS","ESP","ITA","2016/17","01","2016-01",2016,0.010163000000,false,"Soybean","Spain","Italy","other","Europe"
"2016-01-01","SBS","ESP","PRT","2016/17","01","2016-01",2016,1.500515000000,false,"Soybean","Spain","Portugal","other","Europe"
"2016-01-01","SBS","ESP","ROW","2016/17","01","2016-01",2016,0.000003000000,false,"Soybean","Spain","Rest of the World","other","Other"
"2016-01-01","SBS","ESP","SWE","2016/17","01","2016-01",2016,0.000840000000,false,"Soybean","Spain","Sweden","other","Europe"
"2016-01-01","SBS","ESP","UAE","2016/17","01","2016-01",2016,0.000021000000,false,"Soybean","Spain","United Arab Emirates","other","other"
"2016-01-01","SFM","ESP","FRA","2016/17","01","2016-01",2016,3.253609000000,false,"Sunflower Meal","Spain","France","other","Europe"
"2016-01-01","SFM","ESP","PRT","2016/17","01","2016-01",2016,2.282985000000,false,"Sunflower Meal","Spain","Portugal","other","Europe"
"2016-01-01","SFO","ESP","AGO","2016/17","01","2016-01",2016,0.023020000000,false,"Sunflower Seed Oil","Spain","Angola","other","other"
"2016-01-01","SFO","ESP","BEL","2016/17","01","2016-01",2016,0.311683000000,false,"Sunflower Seed Oil","Spain","Belgium","other","Europe"
"2016-01-01","SFO","ESP","BGR","2016/17","01","2016-01",2016,0.000184000000,false,"Sunflower Seed Oil","Spain","Bulgaria","other","Europe"
"2016-01-01","SFO","ESP","CHN","2016/17","01","2016-01",2016,0.097823000000,false,"Sunflower Seed Oil","Spain","China","other","other"
"2016-01-01","SFO","ESP","CYP","2016/17","01","2016-01",2016,0.039720000000,false,"Sunflower Seed Oil","Spain","Cyprus","other","Europe"
"2016-01-01","SFO","ESP","CZE","2016/17","01","2016-01",2016,0.011539000000,false,"Sunflower Seed Oil","Spain","Czech Republic","other","Europe"
"2016-01-01","SFO","ESP","DEU","2016/17","01","2016-01",2016,0.338359000000,false,"Sunflower Seed Oil","Spain","Germany","other","Europe"
"2016-01-01","SFO","ESP","DZA","2016/17","01","2016-01",2016,0.002325000000,false,"Sunflower Seed Oil","Spain","Algeria","other","other"
"2016-01-01","SFO","ESP","ESP","2016/17","01","2016-01",2016,0.613278000000,false,"Sunflower Seed Oil","Spain","Spain","other","Europe"
"2016-01-01","SFO","ESP","FRA","2016/17","01","2016-01",2016,1.507491000000,false,"Sunflower Seed Oil","Spain","France","other","Europe"
"2016-01-01","SFO","ESP","GBR","2016/17","01","2016-01",2016,0.035076000000,false,"Sunflower Seed Oil","Spain","United Kingdom","other","Europe"
"2016-01-01","SFO","ESP","GHA","2016/17","01","2016-01",2016,0.000075000000,false,"Sunflower Seed Oil","Spain","Ghana","other","other"
"2016-01-01","SFO","ESP","HUN","2016/17","01","2016-01",2016,0.000395000000,false,"Sunflower Seed Oil","Spain","Hungary","other","Europe"
"2016-01-01","SFO","ESP","IRL","2016/17","01","2016-01",2016,0.241250000000,false,"Sunflower Seed Oil","Spain","Ireland","other","Europe"
"2016-01-01","SFO","ESP","ISR","2016/17","01","2016-01",2016,0.294000000000,false,"Sunflower Seed Oil","Spain","Israel","other","other"
"2016-01-01","SFO","ESP","ITA","2016/17","01","2016-01",2016,0.232343000000,false,"Sunflower Seed Oil","Spain","Italy","other","Europe"
"2016-01-01","SFO","ESP","KOR","2016/17","01","2016-01",2016,0.871387000000,false,"Sunflower Seed Oil","Spain","South Korea","other","other"
"2016-01-01","SFO","ESP","LBN","2016/17","01","2016-01",2016,0.028037000000,false,"Sunflower Seed Oil","Spain","Lebanon","other","other"
"2016-01-01","SFO","ESP","LTU","2016/17","01","2016-01",2016,0.002274000000,false,"Sunflower Seed Oil","Spain","Lithuania","other","Europe"
"2016-01-01","SFO","ESP","MAR","2016/17","01","2016-01",2016,0.159640000000,false,"Sunflower Seed Oil","Spain","Morocco","other","other"
"2016-01-01","SFO","ESP","MLT","2016/17","01","2016-01",2016,0.043770000000,false,"Sunflower Seed Oil","Spain","Malta","other","Europe"
"2016-01-01","SFO","ESP","MYS","2016/17","01","2016-01",2016,0.126480000000,false,"Sunflower Seed Oil","Spain","Malaysia","other","other"
"2016-01-01","SFO","ESP","NLD","2016/17","01","2016-01",2016,0.447119000000,false,"Sunflower Seed Oil","Spain","Netherlands","other","Europe"
"2016-01-01","SFO","ESP","NOR","2016/17","01","2016-01",2016,0.000126000000,false,"Sunflower Seed Oil","Spain","Norway","other","other"
"2016-01-01","SFO","ESP","NZL","2016/17","01","2016-01",2016,0.218260000000,false,"Sunflower Seed Oil","Spain","New Zealand","other","other"
"2016-01-01","SFO","ESP","PER","2016/17","01","2016-01",2016,0.000100000000,false,"Sunflower Seed Oil","Spain","Peru","other","other"
"2016-01-01","SFO","ESP","POL","2016/17","01","2016-01",2016,0.002336000000,false,"Sunflower Seed Oil","Spain","Poland","other","Europe"
