Date Reporter,Product,Reporter_MappedCode,Partner,CropYear,Month,MonthYear,Year,Quantity,Forecast,Product_Name,Reporter_MappedName,Partner_Name,Group_Reporter,Group_Partner
1/1/2016,SBO,ESP,GBR,2016/17,1,2016-01,2016,0.002693,FALSE,Soybean Oil,Spain,United Kingdom,other,Europe
1/1/2016,SBO,ESP,GRC,2016/17,1,2016-01,2016,0.0224,FALSE,Soybean Oil,Spain,Greece,other,Europe
1/1/2016,SBO,ESP,HRV,2016/17,1,2016-01,2016,0.00506,FALSE,Soybean Oil,Spain,Croatia,other,Europe
1/1/2016,SBO,ESP,IRL,2016/17,1,2016-01,2016,0.003778,FALSE,Soybean Oil,Spain,Ireland,other,Europe
1/1/2016,SBO,ESP,ITA,2016/17,1,2016-01,2016,0.02662,FALSE,Soybean Oil,Spain,Italy,other,Europe
1/1/2016,SBO,ESP,LBN,2016/17,1,2016-01,2016,0.002356,FALSE,Soybean Oil,Spain,Lebanon,other,other
1/1/2016,SBO,ESP,MAR,2016/17,1,2016-01,2016,12.15,FALSE,Soybean Oil,Spain,Morocco,other,other
1/1/2016,SBO,ESP,MLT,2016/17,1,2016-01,2016,0.02176,FALSE,Soybean Oil,Spain,Malta,other,Europe
1/1/2016,SBO,ESP,NZL,2016/17,1,2016-01,2016,0.1508,FALSE,Soybean Oil,Spain,New Zealand,other,other
1/1/2016,SBO,ESP,PRT,2016/17,1,2016-01,2016,0.347536,FALSE,Soybean Oil,Spain,Portugal,other,Europe
1/1/2016,SBO,ESP,ROW,2016/17,1,2016-01,2016,0.030774,FALSE,Soybean Oil,Spain,Rest of the World,other,Other
1/1/2016,SBO,ESP,SWE,2016/17,1,2016-01,2016,0.007466,FALSE,Soybean Oil,Spain,Sweden,other,Europe
1/1/2016,SBO,ESP,USA,2016/17,1,2016-01,2016,0.000801,FALSE,Soybean Oil,Spain,United States,other,other
1/1/2016,SBS,ESP,FRA,2016/17,1,2016-01,2016,0.435757,FALSE,Soybean,Spain,France,other,Europe
1/1/2016,SBS,ESP,ITA,2016/17,1,2016-01,2016,0.010163,FALSE,Soybean,Spain,Italy,other,Europe
1/1/2016,SBS,ESP,PRT,2016/17,1,2016-01,2016,1.500515,FALSE,Soybean,Spain,Portugal,other,Europe
1/1/2016,SBS,ESP,ROW,2016/17,1,2016-01,2016,0.000003,FALSE,Soybean,Spain,Rest of the World,other,Other
1/1/2016,SBS,ESP,SWE,2016/17,1,2016-01,2016,0.00084,FALSE,Soybean,Spain,Sweden,other,Europe
1/1/2016,SBS,ESP,UAE,2016/17,1,2016-01,2016,0.000021,FALSE,Soybean,Spain,United Arab Emirates,other,other
1/1/2016,SFM,ESP,FRA,2016/17,1,2016-01,2016,3.253609,FALSE,Sunflower Meal,Spain,France,other,Europe
1/1/2016,SFM,ESP,PRT,2016/17,1,2016-01,2016,2.282985,FALSE,Sunflower Meal,Spain,Portugal,other,Europe
1/1/2016,SFO,ESP,AGO,2016/17,1,2016-01,2016,0.02302,FALSE,Sunflower Seed Oil,Spain,Angola,other,other
1/1/2016,SFO,ESP,BEL,2016/17,1,2016-01,2016,0.311683,FALSE,Sunflower Seed Oil,Spain,Belgium,other,Europe
