NAME,CODE,IS_GROUP,CHILDREN,HIERARCHY,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,LEVEL13,LEVEL14,LEVEL15,LEVEL16,LEVEL17,LEVEL18,LEVEL19,LEVEL20
Pork Meat Frozen Carcass and half carcass,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,false,,LIVESTOCKMEAT#MEAT_OFFAL_AND_PREP_MEATS#PORK_MEAT_AND_OFFALS#PORK_MEAT#PORK_MEAT_FROZEN#PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,LIVESTOCKMEAT,MEAT_OFFAL_AND_PREP_MEATS,PORK_MEAT_AND_OFFALS,PORK_MEAT,PORK_MEAT_FROZEN,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS,PORK_MEAT_FROZEN_CARCASS_AND_HALF_CARCASS
Pork belly,PORKBELLY,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#PORK#PORKBELLY,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,PORK,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY,PORKBELLY
Fat for Fodder,FODDER_FAT,false,,ALL#AGS#BULK_AGS#FODDERS#FODDER_FAT,ALL,AGS,BULK_AGS,FODDERS,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT,FODDER_FAT
Sugar Medium Grains ,SUG_M,false,,ALL#AGS#BULK_AGS#SUG_BYPSUG#SUG#WHITE_SUG#SUG_M,ALL,AGS,BULK_AGS,SUG_BYPSUG,SUG,WHITE_SUG,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M,SUG_M
Crustaceans,FFISH5,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#FISH#FFISH#FFISH5,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,FISH,FFISH,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5,FFISH5
Steamed Pork,PORK_STM,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#PORK_STM,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM,PORK_STM
15%,BRKRICE15,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#RICE_BYPRICE#RICE#RICE_BROKEN#BRKRICE15,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,RICE_BYPRICE,RICE,RICE_BROKEN,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15,BRKRICE15
SFO refined barrels,SFOREFBARRELS,false,,ALL#AGS#LIQUID_AGS#VEGOILS#SFO#SFOREFBARRELS,ALL,AGS,LIQUID_AGS,VEGOILS,SFO,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS,SFOREFBARRELS
Large cattle for breeding,LARGE-CATTLE-BREEDING,false,,ALL#AGS#BULK_AGS#LIVESTOCK#CATTLE_CALVES#CATTLE_BREEDING#LARGE-CATTLE-BREEDING,ALL,AGS,BULK_AGS,LIVESTOCK,CATTLE_CALVES,CATTLE_BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING,LARGE-CATTLE-BREEDING
African Palm Oil,AFRICANPALMOIL,false,,ALL#AGS#LIQUID_AGS#VEGOILS#POL#AFRICANPALMOIL,ALL,AGS,LIQUID_AGS,VEGOILS,POL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL,AFRICANPALMOIL
