Product,Location,Item,Cut-off Date,Value,Value Period,Value Period multiplier,Value Period Aggregation Type,Crop Year,Value Unit,Value Unit multiplier
Corn,CENTRAL NORTH SANTA FE,area_planted,2025-02-01,157.61,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,Argentina_Others,area_planted,2025-02-01,23,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2025-02-01,850.29,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2024-11-01,227,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2025-02-01,538.7,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2024-11-01,449,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2024-11-01,508,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2024-11-01,801,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2024-11-01,640,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2025-02-01,347,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2024-11-01,23,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2024-11-01,110,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2024-11-01,11,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,Argentina,area_planted,2024-11-01,6300,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2024-11-01,780,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2024-11-01,318,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2024-11-01,499,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2024-11-01,552,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2024-11-01,683,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2024-02-01,815,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2024-02-01,1253,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2024-02-01,282,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,NORTH BELT,area_planted,2024-02-01,802,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,SOUTH BELT,area_planted,2024-02-01,695,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2024-02-01,317,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2024-02-01,328.2,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2024-02-01,315.6,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2024-02-01,452.8,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2024-02-01,352,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,Cuenca del Salado,area_planted,2024-02-01,93,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,Argentina_Others,area_planted,2024-02-01,23,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,Argentina,area_planted,2024-02-01,8400,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2024-01-01,1075.2,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2024-01-01,1664.1,YEAR,1,SUM,2023/2024,Hectare,1000
